"area"|"section"|"job number"|"job name"|"description"|"cabinet number"|"drawer number"
2|2|96-053|||4|C|00001974.PDF
2|4|96-017|U.R.P. GRANT APPLICATION|CROSS REF|4|C|00001975.PDF
2|4|96-017|U.R.P. GRANT|CROSS REF|4|C|00001976.PDF
2|3|97-045|SEWAGE DISPOSAL SYSTEM CAMP REINBURG|SULLIVAN'S SEPTIC|4|C|00001977.PDF
2|3|99-020|DEER GROVE SOCCER||4|C|00001978.PDF
2|3|99-085|LOWER ROOF REPAIRS AT CAMP REINBURG|2 PLANNING|4|C|00001979.PDF
2|3|00-104|SOUTH TOWN REFRIDGERATION|THREE FURNACE|4|C|00001980.PDF
2|4||DEER GROVE CULVERTS UNDER 2||4|C|00001981.PDF
2|4||DEER GROVE CULVERT BRIDGE||4|C|00001982.PDF
|||DEER GROVE|SOIL BORING FOR PARKING LOT|4|C|00001983.PDF
2|7|98-002|BRIDALWAY STABLES|2.1 PLANNING|4|C|00001984.PDF
||95-100|POWDERHORN LAKE FINAL BILLING||9|A|00001985.PDF
||96-157|POWDERHORN LAKE|POST COMPLETION REPORT|9|A|00001986.PDF
|||POWDERHORN||9|A|00001987.PDF
30|18|99-78|REHABILITATION OF GREEN LAKE POOL|2 PLANNING|9|A|00001988.PDF
30|||CALUMET DIVISION||9|A|00001989.PDF
30|||BURNHAM GOLF COUSE EVERGREEN PLANTING||9|A|00001990.PDF
30|||BURNHAM G.C. CONCESSION AND SERVICE BUILDING PERSPECTIVE DRAWING||9|A|00001991.PDF
30|||BURNHAM GOLF COURSE||9|A|00001992.PDF
30|||CORRESPONDENCE||9|A|00001993.PDF
30|7|99-64|CALUMET CITY PRAIRIE SIGN||9|A|00001994.PDF
30|18|98-14|POOL WALL REPAIRS AT GREEN LAKE POOL||9|A|00001995.PDF
30|18|99-13|WILDLIFE VIEWING AT MCGINNIS 1998|ADMINISTRATION|9|A|00001996.PDF
27|4|99-13|MCGINNIS SCOUGH||9|A|00001997.PDF
30|18|99-63|REMOVAL OF SWIMMING PLATFORM AT GREEN LAKE POOL|2 PLANNING|9|A|00001998.PDF
|||M-30|1995|9|A|00001999.PDF
30|6|95-031|1.1 CORRESPONDENCE||9|A|00002000.PDF
30|7|97-51|CAL CITY PRAIRIE||9|A|00002001.PDF
30|18|96-13|PUMPING STATION FOR GREEN LAKE POOL|THOMAS PUMP CO.|9|A|00002002.PDF
30|18|96-013|PUMPING STA FOR WATER CIR GREENLAKE|4.1|9|A|00002003.PDF
30|18|97-14|PIPING FOR WATER CIRCULATING SYSTEM AT GREEN LAKE POOL REBID THOMAS PUMP||9|A|00002004.PDF
29|||PLANTING CALUMET GROVE||9|A|00002005.PDF
|||RIVER OAKS GOLF COURSE 1982||9|A|00002006.PDF
|||RIVER OAKS GOLF COURSE|SIGN LANDSCAPING|9|A|00002007.PDF
29|||SHABBONA WOODS|HORSE TRAIL|9|A|00002008.PDF
29|||LITTLE CALUMET RIVER||9|A|00002009.PDF
29|||CALUMET UNION DRAINAGE DITCH||9|A|00002010.PDF
29|||FEASIBILITY||9|A|00002011.PDF
29|||DIXMOOR PLAYFIELD BORINGS||9|A|00002012.PDF
29|||DIXMOOR MEADOWS||9|A|00002013.PDF
|||SKOKIE LAGOONS||5||00002014.PDF
|||SKOKIE LAGOONS LAKE RESTORATION PROGRAM||5||00002015.PDF
|||SKOKIE LAGOONS||5||00002016.PDF
|||SKOKIE LAGOONS||5||00002017.PDF
|||SKOKIE LAGOONS||5||00002018.PDF
|||CHARRETTE-SKOKIE LAGOONS 1992||5||00002019.PDF
|||SKOKIE LAGOONS 8-80 TO 5-86||5||00002020.PDF
|||SKOKIE LAGOONS 5-86 TO 2-91||5||00002021.PDF
||00-010|HOUSING COMMITTEE MEETING||5||00002022.PDF
||00-051|MISC ARCHITECTURAL SERVICES||5||00002023.PDF
||99-083|BIG MARSH||3||00002024.PDF
||99-083|WOLF LAKE||3||00002025.PDF
||99-083|LAKE CALUMET ECO.||3||00002026.PDF
||99-094|FITZJOY PROPERTY||3||00002027.PDF
||99-099|APPLICATION FOR PAUL DOUGLAS||3||00002028.PDF
||99-101|SPRING LAKE GREENWAY||3||00002029.PDF
||99-101|SPRING LAKE GREENWAY||3||00002030.PDF
||99-101|SPRING LAKE GREENWAY||3||00002031.PDF
||99-101|SPRING LAKE GREENWAY||3||00002032.PDF
||99-101|SPRING LAKE GREENWAY||3||00002033.PDF
||99-101|SPRING LAKE GREENWAY||3||00002034.PDF
||99-101|SPRING LAKE GREENWAY||3||00002035.PDF
||99-101|KLEHM PROPERTY||3||00002036.PDF
||99-101|SITE INFO||3||00002037.PDF
||99-101|KLEHM WOODS OF SOUTH BARRINGTON||3||00002038.PDF
||99-101|OPEN LAND TRUST GRANT APPLICATION||3||00002039.PDF
|||FOREST PRESERVE DISTRICT||3||00002040.PDF
||00-003|SAGAWAU CANYON NATURE PRESERVE||3||00002041.PDF
2|30|94-10|PROFESSIONAL CONSULTING  SERVICES|THE DEVELOPMENT OF WETFOOT LAKE|4|D|00002042.PDF
2|32|95-13|HIGHLAND WOODS GOLF COURSE|2.4 PROJECT DEVELOPMENT|4|D|00002043.PDF
||95-33|||4|D|00002044.PDF
2|32|95-50|95-43|1.1 CORRESPONDENCE|4|D|00002045.PDF
2|32|95-75|CATCH BASIN REPAIR|HIGHLAND WOODS|4|D|00002046.PDF
2|32|95-75|MANHOLE HW G.C.|4.1 CORRESPONDENCE|4|D|00002047.PDF
2|32|95-75|MANHOLE AND CATCH BASIN REPAIRS|MIKA LANDSCAPING|4|D|00002048.PDF
2|30|95-123|ROOF REPAIRS|5.1 CONTRACT INFORMATION|4|D|00002049.PDF
2|32|96-43|BRISTOL WOODS RES. ROOF REPAIRS|2.1 PLANNING|4|D|00002050.PDF
2|32|96-44|BRISTOL WOODS SITE INSP|2.1 PLANNING|4|D|00002051.PDF
2|32|98-43|GOLF COURSE CURB RAMPS|2 PLANNING|4|D|00002052.PDF
2|32|98-43|GOLF COURSE CURB RAMPS|4 CONSTRUCTION|4|D|00002053.PDF
2|32|98-43|GOLF COURSE CURB RAMPS|3 BIDDING|4|D|00002054.PDF
2|32|98-43|GOLF COURSE CURB RAMPS|5 CONTRACT|4|D|00002055.PDF
2|32|98-43|GOLF COURSE CURB RAMPS|1 ADMINISTRATION|4|D|00002056.PDF
2|31|99-02|DEMOLITION OF STRUCTURES|3 BIDDING|4|D|00002057.PDF
2|31|99-02|DEMOLITION OF STRUCTURE|4 CONSTRUCTION|4|D|00002058.PDF
2|31|99-02|AMERICAN DEMOLITION|DEMOLITION OF STRUCTURES|4|D|00002059.PDF
2|31|99-02|DEMOLITION OF BRISTOL WOODS STABLES|2 PLANNING|4|D|00002060.PDF
2|32|99-69|REPAIRS AT HIGHLAND WOODS GOLF COURSE|2 PLANNING|4|D|00002061.PDF
2|32|99-69|ROOF REPAIRS HIGHLAND WOODS CONCESSION|2 PLANNING|4|D|00002062.PDF
2|7|00-25|DEMOLITION OF 44 DUNDEE RD.|2 PLANNING|4|D|00002063.PDF
||98-063|BAKERS LAKE ISLAND RESTORATION||4|D|00002064.PDF
||98-63|PHOTOS||4|D|00002065.PDF
||98-63|LAKE ISLAND|MAPS AND PHOTOS|4|D|00002066.PDF
||98-63|BAKERS LAKE HERONRY RECONSTRUCTION|AWARDS|4|D|00002067.PDF
||98-63|BAKERS LAKE|BIRD STUDIES|4|D|00002068.PDF
||98-63|BAKER LAKE||4|D|00002069.PDF
2|32|00-09|RESURFACING PARKING LOT AND DRIVEWAY AT HIGHLAND WOODS G.C.|JOHNSON BLACKTOP|4|D|00002070.PDF
2|32|01-057|HIGHLAND WOODS GOLF COURSE|PLANTING PLAN|4|D|00002071.PDF
2|33|01-057|HIGHLAND WOODS GOLF COURSE|ILLINOIS FIRST GRANT CORRESPONDENCE|4|D|00002072.PDF
28|14|96-041|MIDLOTHIAN MEADOWS 152ND ST. SPUR|4.1 CORRESPONDENCE|8|C|00002073.PDF
28|14|96-041|MIDLOTHIAN MEADOWS 152ND ST. SPUR BICYCLE TRAIL|3.1 CORRESPONDENCE BIDDERS|8|C|00002074.PDF
28|14|96-041|MIDLOTHIAN MEADOWS 152ND ST. SPUR BICYCLE TRAIL|5.1 CONTRACTOR CONTRACT|8|C|00002075.PDF
28|14|96-041|MIDLOTHIAN MEADOWS 152ND ST. SPUR BICYCLE TRAIL|5.2 CONTRACTOR BILLING|8|C|00002076.PDF
28|15|00-035|SHELTER RE-ROOFING AT MIDLOTHIAN MEADOWS|2 PLANNING|8|C|00002077.PDF
28|15|00-035|||8|C|00002078.PDF
28|19|92-031|PARKING AREA AT 159TH ST. AND RIDGELAND AVE||8|C|00002079.PDF
||93-006|CART PATH CONST.|GEORGE W. DUNNE NATIONAL COURSE|8|C|00002080.PDF
28|20|95-059|CARPET FOR GEORGE W. DUNNE GOLF COURSE|3.1 BIDS INFORMATION|8|C|00002081.PDF
||95-059|G.W. DUNNE CLUBHOUSE CARPET|5.1 CONTRACTOR BILLING|8|C|00002082.PDF
28|20|97-056|GEORGE DUNNE NAT'L G.C. SHORELINE STABILIZATION|GALE CONST CO.|8|C|00002083.PDF
28|20|97-056|||8|C|00002084.PDF
28|20|97-055|ARCHITECTURAL SERVICES FOR DUNNE NAT'L AND RIVER OAKS G.C.||8|C|00002085.PDF
28|20|00-026|DEMOLITION OF OLD TINLEY CREEK FORESTRY|2 PLANNING|8|C|00002086.PDF
28|||TINLEY CREEK DIVISION|DEVELOPMENT PLANS|8|C|00002087.PDF
28|||OAK FOREST INFIRMARY||8|C|00002088.PDF
28|||PHOTOS||8|C|00002089.PDF
28|||PLANTING PLAN|SOUTH GOLF COURSE|8|C|00002090.PDF
28|||||8|C|00002091.PDF
28|||CORRESPONDENCE 11/95|CAMP FALCON|8|C|00002092.PDF
28|||HORSE TRAIL|167TH AND CENTRAL|8|C|00002093.PDF
28|||OAK FOREST BASEBALL ASSOCIATION||8|C|00002094.PDF
28|||BASEBALL DIAMOND|151ST AND CRAWFORD|8|C|00002095.PDF
28|||SOUTH GREEN BELT DEVELOPMENT||8|C|00002096.PDF
28|||R.O.W. 143 183RD HARLEM||8|C|00002097.PDF
28|||RIMKUS PROPERTY|167TH AND LOCKWOOD|8|C|00002098.PDF
|||||8|C|00002099.PDF
28|||MIDLOTHIAN CREEK RETENTION BASIN||8|C|00002100.PDF
28|||MIDLOTHIAN DETENTION RESERVOIR||8|C|00002101.PDF
28|||BACHELOR GROVE ROAD|MITIGATION|8|C|00002102.PDF
28|||SOUTH GOLF COURSE||8|C|00002103.PDF
28|||MIDLOTHIAN MEADOW||8|C|00002104.PDF
28|||CORRESPONDENCE FILE 1||8|C|00002105.PDF
||00-95|HOWARD-SIGNAGE||3|B|00002106.PDF
||00-95|EGGERS GROVE/WOLF LAKE|OVERLOOK SIGNAGE|3|B|00002107.PDF
||00-95|SIGNAGE PROJECT||3|B|00002108.PDF
||00-109|FULLERTON WOODS TARP SITE RECLAMATION||3|B|00002109.PDF
||00-111|LAGRANGE ROAD WIDENING||3|B|00002110.PDF
||00-111|LAGRANGE ROAD WIDENING||3|B|00002111.PDF
||01-010|CRABTREE PRESERVE-BIKE PATH AT ALGONQUIN AND BARRINGTON||3|B|00002112.PDF
||01-012|RIVER SIGN CONCEPT||3|B|00002113.PDF
||01-012|DESPLAINES RIVER TRAIL SIGNAGE||3|B|00002114.PDF
||01-012|NORTH BRANCH WATER TRAIL||3|B|00002115.PDF
||01-023|BERGMAN SLOUGH RESTORATION||3|B|00002116.PDF
||01-026|MISC. ARCHITECTURAL PROJECTS|2 PLANNING|3|B|00002117.PDF
||01-026|MISC. ARCHITECTURAL SERVICES||3|B|00002118.PDF
||01-033|CERTIFICATE OF LIABILITY INSURANCE||3|B|00002119.PDF
||01-33|DUDYCZ||3|B|00002120.PDF
||01-33|NEW LOCKER ROOMS AT WHEALAN POOL|1 GRANT INFORMATION|3|B|00002121.PDF
||01-33|NEW LOCKER ROOMS AT WHEALAN POOL|2 PERMITS|3|B|00002122.PDF
||01-33|NEW LOCKER ROOMS AT WHEALAN POOL|4-SUBMITTALS|3|B|00002123.PDF
||01-33|WHEALAN POOL LOCKERS ROOMS|3 BIDDING|3|B|00002124.PDF
||01-33|NEW LOCKER ROOMS AT WHEALAN POOL|2 PLANNING GENERAL|3|B|00002125.PDF
||01-33|NEW LOCKER ROOMS AT WHEALAN POOL|2 PRODUCT CUT SHEETS|3|B|00002126.PDF
||01-33|NEW LOCKER ROOMS AT WHEALAN POOL|4-CONSTRUCTION|3|B|00002127.PDF
||01-43|GASB 34|2 GENERAL INFORMATION|3|B|00002128.PDF
||01-43|||3|B|00002129.PDF
||01-43|GASB 34|2 PLANNING|3|B|00002130.PDF
||01-052|CAPPARECLI||3|B|00002131.PDF
||00-004|SUBPOENA FOR THORN CHECK CSX||9|B|00002132.PDF
32|16|98-017|UNION PACIFIC THORN CREEK PRESERVE ADDITION|FINAL BILLING IDNR PROJECT|9|B|00002133.PDF
||98-017|||9|B|00002134.PDF
||98-017|THORN CREEK PRESERVE ADDITION|C-2000|9|B|00002135.PDF
||97-053|||9|B|00002136.PDF
32|4|97-053|SHELTER REPAIRS AT GLENWOOD WOODS AND SAUK TRAIL WOODS|MRE CONSTRUCTION|9|B|00002137.PDF
32|4|97-053|SHELTER REPAIRS GLENWOOD WOODS AND SAUK TRAIL|2 PLANNING|9|B|00002138.PDF
|||CHIEF ENGENEER/S|COPY|9|B|00002139.PDF
32|4|97-053|SHELTER REPAIRS GLENWOOD WOODS SAUK TRAIL|2.1 COST ESTIMATES|9|B|00002140.PDF
32|4|97-053|SHELTER REPAIRS GLENWOOD WOODS AND SAUK TRAIL|2.2 PERMIT INFORMATION|9|B|00002141.PDF
32|4|97-053|GLENWOOD WOODS AND SAUK TRAIL WOODS SHELTER|4.1 CONSTRUCTION CORRESPONDENCE|9|B|00002142.PDF
32|4|97-053|SHELTER REPAIRS GLENWOOD WOODS SAUK TRAIL|4.2 SHOP DRAWINGS|9|B|00002143.PDF
||97-061|FOREST PRESERVE DISTRICT OF COOK COUNTY|LEGAL DEPARTMENT|9|B|00002144.PDF
||97-061|THORN CREEK CSX ACQUISITION||9|B|00002145.PDF
32|4|97-061|THORN CREEK CSX ACQUISITION|1.5 GRANT PROJECT AGREEMENT|9|B|00002146.PDF
32|4|97-061|THORN CREEK CSX ACQUISITION|1.4 GRANT PRESENTATION|9|B|00002147.PDF
32|4|97-061|THORN CREEK CSX ACQUISITION|1.1 GRANT CORRESPONDENCE|9|B|00002148.PDF
||97-061|THORN CREEK CSX ACQUISITION|ACQUISITION INFO|9|B|00002149.PDF
31|||TOPSOIL AREAS SOUTH GREEN BELT||9|B|00002150.PDF
|||M-32||9|B|00002151.PDF
29|13|97-018|RIVER OAKS NETTING||9|B|00002152.PDF
||97-055|RIVER OAK G.C.||9|B|00002153.PDF
30|18|95-094|BACK FLOW PREV. RIVER OAK GRN LAKE POOL|2.4 PROJ. DEV.|9|B|00002154.PDF
32|1|98-009|CORRESPONDENCE CONSULTANT||9|B|00002155.PDF
32|1|98-009|CORRESPONDENCE CONSULTANT||9|B|00002156.PDF
31|||CORRESPONDENCE||9|B|00002157.PDF
31|||PHOTOS||9|B|00002158.PDF
31|5|00-118|LIVING HISTORY FARM||9|B|00002159.PDF
29|26|00-120|THORTON TRANSITIONAL RESEVOIR||9|B|00002160.PDF
|||TINLEY CREEK S. GREEN BELT|OSLAND AND SIGNAGE|9|B|00002161.PDF
||08-031|BURNHAM PRAIRIE ACQUISITION|BURNHAM PRAIRIE ACQUISITION|9|A|00002162.PDF
||08-031|BURNHAM PRAIRIE ADDITION GRANT APPLICATION|INSTRUCTIONS|9|A|00002163.PDF
||08-031|BURNHAM PRAIRIE ADDITION|2008 APPLICATION|9|A|00002164.PDF
||08-031|BURNHAM PRAIRIE ADDITION GRANT|CORRESPONDENCE|9|A|00002165.PDF
||08-031|BURNHAM PRAIRIE ADDITION BACK UP MATERIAL|EXTRA MAPS|9|A|00002166.PDF
||08-031|BURNHAM PRAIRIE ADDITION|OS 09-1652 FPD|9|A|00002167.PDF
||00-054|GREEN LAKE POOL|PROJECT AGREEMENT|9|A|00002168.PDF
30|18|00-054|GREEN LAKE POOL OSLAD||9|A|00002169.PDF
30||00-083|GREEN LAKE PROOF||9|A|00002170.PDF
30|||GREEN LAKE||9|A|00002171.PDF
30|||POWDERHORN LAKE||9|A|00002172.PDF
||99-36|CAMP SAGAWAU CANYON ADDITION|ACQUISITION INFO.|2|C|00002173.PDF
||99-36|CAMP SAGAWAU CANYON ADDITION|PROJECT AGREEMENT|2|C|00002174.PDF
||99-36|CAMP SAGAWAU CANYON ADDITION|PROJECT AGREEMENT|2|C|00002175.PDF
||99-36|CAMP SAGAWAU CANYON ADDITION|LETTERS OF SUPPORT/SIGN-OFFS|2|C|00002176.PDF
||99-36|CAMP SAGAWAU ADDITION|APPRAISAL/RELOCATION|2|C|00002177.PDF
||99-36|CAMP SAGAWAU CANYON ADDITION|BOARD LETTERS|2|C|00002178.PDF
||99-36|CAMP SAGAWAU CANYON ADDITION|APPLICATIONS|2|C|00002179.PDF
||99-36|CAMP SAGAWAU CANYON ADDITION|FINAL REIMBURSEMENT PACKAGE SUBMITTED|2|C|00002180.PDF
||99-36|CAMP SAGAWAU CANYON ADDITION|FINAL REIMBURSEMENT SUBMITTED|2|C|00002181.PDF
||99-36|CAMP SAGAWAU CANYON ADDITION||2|C|00002182.PDF
||99-36|CAMP SAGAWAU CANYON ADDITION||2|C|00002183.PDF
||99-37|BAKERS LAKE DEVELOPMENT VARIOUS CORRESPONDENCE|VILL. OF BARRINGTON|2|C|00002184.PDF
15|11|92-22|SHOP DRAWING|TRAILSIDE MUSEUM REHAB|7|B|00002185.PDF
15|11|92-22|WINTERSET CONSTRUCTION INC.|RESTORATION AND REHAB OF THE HAROLD HAL TYRRELL TRAILSIDE MUSEUM|7|B|00002186.PDF
15|11|92-22|TRAILSIDE MUSEUM REHABILITATION||7|B|00002187.PDF
15|11|92-22|TRAILSIDE MUSEUM REHABILITATION|FILE 2|7|B|00002188.PDF
15|11|93-03|WINTERSET CONSTRUCTION|EXTERIOR SURFACE COATING ABATEMENT AT TRAILSIDE INTERPRETIVE CENTER|7|B|00002189.PDF
15|11|93-15|GRAN INC.|NEW STORAGE STRUCTURE AT TRAILSIDE MUSEUM|7|B|00002190.PDF
15|11|93-16|SPECIFICATIONS AND PROPOSAL FOR HARDSCAPE REHABILITATION OF THE HAROLD HAL TYRRELL TRAILSIDE MUSEUM||7|B|00002191.PDF
15|11|93-16|TRAILSIDE MUSEUM HARDSCAPE|2.1 CORRESPONDENCE|7|B|00002192.PDF
15|11|93-16|PHOTOS||7|B|00002193.PDF
15|11|93-16|CONCEPTS|PARKING LOT ENTRANCE|7|B|00002194.PDF
15|11|93-16|TRAILSIDE|1989-90|7|B|00002195.PDF
15|11|93-16|TRAILSIDE MUSEUM HARDSCAPE|3.1 CORRESPONDENCE/BIDDERS|7|B|00002196.PDF
15|11|93-16|TRAILSIDE MUSEUM HARDSCAPE|2.4 PROJECT DEVELOPMENT|7|B|00002197.PDF
15|11|93-16|HARDSCAPE REHABILITATION OF HAROLD HAL TYRRELL TRAILSIDE MUSEUM|5.3 CONTRACT|7|B|00002198.PDF
15|11|93-16|J.A. JOHNSON PAVING||7|B|00002199.PDF
15|11|93-16|TRAILSIDE MUSEUM HARDSCAPE|2.2 CONSTRUCTION COST|7|B|00002200.PDF
15|11|93-16|TRAILSIDE MUSEUM HARDSCAPE|4.1 CONSTRUCTION CORRESPONDENCE|7|B|00002201.PDF
15|11|93-16|MONAHANS LANDSCAPE CO.|HARDSCAPE AND LANDSCAPE REHAB OF THE TRAILSIDE MUSEUM|7|B|00002202.PDF
||98-23|PRAIRIE/FARMER CREEK||6||00002203.PDF
||98-23|THE CITY OF DES PLAINES||6||00002204.PDF
||98-23|BOARD LETTERS||6||00002205.PDF
||98-23|IGA FPDCC IDNR||6||00002206.PDF
||98-23|PRAIRIE/FARMER CREEK||6||00002207.PDF
||98-23|MEETINGS||6||00002208.PDF
||98-23|PHOTOS DRAWINGS COSTS||6||00002209.PDF
||07-35|PLAINES RIVER||6||00002210.PDF
||07-35|WETLAND DELINEATION REPORT||6||00002211.PDF
||07-35|PROJECT DEVELOPMENT REPORT FOR CATEGORICAL EXCLUSION||6||00002212.PDF
||07-35|APPLICATION FOR REGIONAL PERMIT 2||6||00002213.PDF
||07-35|DES PLAINES MULTI-USE TRAIL CITY OF DES PLAINES||6||00002214.PDF
||07-35|RIBBON CUTTING||6||00002215.PDF
||07-35|DES PLAINES MULTI-USE TRAIL||6||00002216.PDF
||98-60|SHINGLE ROOF REPLACEMENT AT WHEALAN POOL||6||00002217.PDF
||98-60|EXTERIOR TERRACE DECK WATERPROOFING WHEALAN POOL||6||00002218.PDF
||98-60|EXTERIOR CONCRETE DECK WATERPROOFING AT WHEALAN POOL||6||00002219.PDF
||99-45|CONSULTING SERVICES RECONSTRUCTION OF LINNE WOODS PEDESTRIAN HORSE TRAIL BRIDGE||6||00002220.PDF
||96-036|MAPLE LAKE PAHSE I ILLINOIS CLEAN LAKES PROGRAM NORTHWEST CONSULTANT FILE 2 OF 3||8||00002221.PDF
||98-013|CATCH BASIN REPAIR AT 119TH ST||8||00002222.PDF
|||WATER MAN BREAK COLD COUNTRY LANE||8||00002223.PDF
||94-013|MAPLE LAKE AREA VARIOUS LOCATIONS AND PROJECTS||8||00002224.PDF
||94-013|JOHNSON PAVING CO. 1994||8||00002225.PDF
||96-005|LITTLE RED SCHOOLHOUSE||8||00002226.PDF
||97-028|TRAIL UNDERPASS RE CONSTRUCTION||8||00002227.PDF
||00-083|BRIDGES OLD COUNTRY LANE||8||00002228.PDF
||00-083|OLD COUNTRY LANE BRIDGE||8||00002229.PDF
||00-083|OLD COUNTRY LANE BRIDGE||8||00002230.PDF
|||M-23 1995||8||00002231.PDF
||95-066|UNPAVED TRAIL RELOCATION||8||00002232.PDF
||95-066|MULTI USE TRAIL RELOCATION AT 87TH AND KEAN AVE||8||00002233.PDF
||95-066|MULTI USE TRAIL RELOCATION AT 87TH ST AND KEAN AVE||8||00002234.PDF
||97-025|TRAIL GRANT||8||00002235.PDF
||97-025|TRAIL UNDERPASS RE-CONSTRUCTION AT LA GRANGE ROAD||8||00002236.PDF
|||DICK BULK LANDFILL MCCARTHY  COOK||8||00002237.PDF
|||F.A. ROUTE 61 LOCATION STUDY||8||00002238.PDF
|||BLACK PARTRIDGE AND KEEPATAW||8||00002239.PDF
|||STEPHEN STREET REVIEW 1972||8||00002240.PDF
|||ILL RTE. 171 ARCHER AVE AND ILL RTE 83||8||00002241.PDF
|||SAG VALLEY DIV. HEADQUARTERS||8||00002242.PDF
|||MONUMENT PARK CAL SAG AND SHIP CANAL||8||00002243.PDF
|||AGREEMENT USACE AND HPA REHAB/MAINTENANCE/REPAIRS||8||00002244.PDF
|||SKI SLOPE||8||00002245.PDF
|||I AND M CANAL LANDS||8||00002246.PDF
|||I AND M SALES||8||00002247.PDF
|||I 355||8||00002248.PDF
29|||LITTLE CALUMET RIVER STUDY|CORP OF ENGINEERS|8|D|00002249.PDF
|||||8|D|00002250.PDF
29|||THORN CREEK DIVISION||8|D|00002251.PDF
29|||CORRESPONDENCE||8|D|00002252.PDF
||91-018|TINLEY CREEK DIVISION|BIKE TRAIL EXTENSION|8|D|00002253.PDF
|||M-28 1995||8|D|00002254.PDF
28|5|95-016|TINLEY CREEK NORTH LOOP BIKE TRAIL|CARLSON BROS INC CONSTRUCTION|8|D|00002255.PDF
28|5|95-016|TINLEY CREEK N. LOOP SEC.|1.4 GRANT APPLICATION|8|D|00002256.PDF
28|5|95-016|TINLEY CREEK N. LOOP SEC.|1.3 GRANT PROOF OF OWNERSHIP|8|D|00002257.PDF
|||||8|D|00002258.PDF
||95-016|TINLEY CREEK NORTH LOOP SEC|1.6 GRANT PROJECT AGREEMENT|8|D|00002259.PDF
||95-016|TINLEY CREEK BICYCLE TRAIL NORTH LOOP SECTION|1.1 GRANT CORRESPONDENCE|8|D|00002260.PDF
||95-016|TINLEY CREEK NORTH LOOP SECTION|1.7 RFP/RFQ CONSULTANT SELECTION|8|D|00002261.PDF
||95-016|TINLEY CREEK BICYCLE TRAIL NORTH LOOP SECTION|POST COMPLETION REPORT|8|D|00002262.PDF
||95-016|TINLEY CREEK NORTH LOOP SECTION|1.8 GRANT FINAL BILLING|8|D|00002263.PDF
28|5|95-016|TINLEY CREEK NORTH LOOP SEC.|2.1.3 CORRESPONDENCE-MISC|8|D|00002264.PDF
|||TINLEY CREEK BICYCLE TRAIL|BRIDGE ABUTMENTS|8|D|00002265.PDF
|||WETLAND DELINEATION AND ASSESSMENT REPORT||8|D|00002266.PDF
1|||URBAN WETLANDS INITIATIVE||4|C|00002267.PDF
1|||INTERNATIONAL EXPOSITION CENTER||4|C|00002268.PDF
1|||||4|C|00002269.PDF
1|||CRABTREE/BAKERS LAKE|FARM PERMIT 1984-85|4|C|00002270.PDF
1|31|96-35|5.1 CONTRACT||4|C|00002271.PDF
1|30|96-029|DEMOLITION OF MAGNUM RESTAURANT|5.1 CONTRACTOR CONTRACTOR|4|C|00002272.PDF
1|30|96-029|DEMOLITION OF MAGNUM RESTAURANT|2.1 PROJECT DEVELOPMENT|4|C|00002273.PDF
1|30|96-029|DEMOLITION OF MAGNUM RESTAURANT|3.1 BIDDING INFORMATION|4|C|00002274.PDF
1|||||4|C|00002275.PDF
28|5|95-016|TINLEY CK/N. LOOP SEC.|2.1 CORRESPONDENCE/DESIGN|8|D|00002276.PDF
||95-016|||8|D|00002277.PDF
28|5|95-016|TINLEY CREEK/NORTH LOOP SEC.|2.1.1 CORRESPONDENCE CONSULTANT|8|D|00002278.PDF
28|5|95-016|TINLEY CK/N LOOP SEC.|2.2 EST. OF QUANTITIES|8|D|00002279.PDF
28|5|95-016|TINLEY CREEK/NORTH LOOP SEC.|2.1.2 CORRESPONDENCE UTILITIES|8|D|00002280.PDF
28|5|95-016|TINLEY CRK/N LOOP SEC.|2.3 SPECIFICATIONS|8|D|00002281.PDF
28|5|95-016|TINLEY CRK/N LOOP SEC.|4.1 CORRESPONDENCE/CONST.|8|D|00002282.PDF
28|5|95-016|TINLEY CREEK/NORTH LOOP SEC.|2.7 REGULATORY APPROVALS|8|D|00002283.PDF
||95-016|GEOTECHNICAL REPORT||8|D|00002284.PDF
||95-016|||8|D|00002285.PDF
||95-016|||8|D|00002286.PDF
||95-016|||8|D|00002287.PDF
28|5|95-016|TINLEY CRK/N LOOP SEC.|2.4 SOIL REPORT|8|D|00002288.PDF
28|5|95-016|TINLEY CREEK/NORTH LOOP SEC.|2.6 PROJECT SCHEDULES|8|D|00002289.PDF
28|5|95-016|TINLEY CK/N. LOOP SEC.|3.1 CORRESPONDENCE/BIDS|8|D|00002290.PDF
28|5|95-016|TINLEY CK/N. LOOP SEC.|5.1 CONSULTANT/CONTRACT|8|D|00002291.PDF
28|5|95-016|TINLEY CK/N. LOOP SEC.|5.2 CONSULTANT/BILLING|8|D|00002292.PDF
28|5|95-016|TINLEY CK/N. LOOP SEC.|4.4 SUBMITTAL|8|D|00002293.PDF
||96-003|||8|D|00002294.PDF
||96-003|NO. BP 97-176|POST COMPLETION REPORTS|8|D|00002295.PDF
24|31|96-003|TIN. CRK. N. LOOP COMPLETION|1.7 GRANT FINAL BILLING|8|D|00002296.PDF
24|31|96-003|TIN. CRK. N. LOOP COMPLETION|1.1 GRANT CORRESPONDENCE|8|D|00002297.PDF
||96-003|||8|D|00002298.PDF
||96-003|||8|D|00002299.PDF
